Item;Código de item;Nome do produto;Descrição química;Grau de Etoxilação;Grupo de Família;Família de Produtos;Peso Molecular;Data inicial do estudo;Tipo de estudo;Ensaios físico-químicos;ensaio_normalizado;categoria_ensaio;is_quantitativo;Método;Especificação;spec_tipo;spec_min;spec_max;0 dia_valor;0 dia_menor_que;1 sem_valor;1 sem_menor_que;2 sem_valor;2 sem_menor_que;1m_valor;1m_menor_que;2m_valor;2m_menor_que;3m_valor;3m_menor_que;4m_valor;4m_menor_que;5m_valor;5m_menor_que;6m_valor;6m_menor_que;9m_valor;9m_menor_que;12m_valor;12m_menor_que;18m_valor;18m_menor_que;24m_valor;24m_menor_que;30m_valor;30m_menor_que;36m_valor;36m_menor_que
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;Aparência;Aparencia;Organoleptico;False;MA-742;líquido claro a escuro, solido se frio;DESCRITIVA;;;SOLIDO;False;;False;;False;SOLIDO;False;;False;SOLIDO;False;;False;;False;SOLIDO;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Acelerado;Água, %p;Teor de Agua;Fisico-Quimico;True;MA-875;0,20 máx.;MAXIMO;;0.2;0.1;False;;False;;False;0.08;False;;False;0.06;False;;False;;False;0.17;False;;False;;False;;False;;False;;False;;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Longa duração;Anilina, %;Anilina;Composicao;True;MA-1340;0,1 máx.;MAXIMO;;0.1;0.01;False;;False;;False;;False;;False;0.014;False;;False;;False;0.01;False;0.02;False;0.02;False;0.02;False;ND;False;0.03;False;0.03;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Longa duração;Anilina 1EO, %;Anilina;Composicao;True;MA-1340;1,0 máx.;MAXIMO;;1.0;0.33;False;;False;;False;;False;;False;0.31;False;;False;;False;0.3;False;0.24;False;0.38;False;0.36;False;0.28;False;0.32;False;0.3;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Longa duração;Anilina 2EO, %;Anilina;Composicao;True;MA-1340;94,0 mín;MINIMO;94.0;;97.56;False;;False;;False;;False;;False;97.18;False;;False;;False;96.01;False;96.88;False;97.47;False;97.11;False;98.02;False;97.34;False;97.49;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Longa duração;Anilina 3EO, %;Anilina;Composicao;True;MA-1340;6,0 máx.;MAXIMO;;6.0;1.8;False;;False;;False;;False;;False;1.87;False;;False;;False;2.0;False;2.1;False;1.83;False;1.83;False;1.69;False;1.85;False;1.78;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Longa duração;pH 5% iso/água 1:1 v/v, 25°C (é análise de processo);pH;Fisico-Quimico;True;MA-737;7,0 máx.;MAXIMO;;7.0;7.63;False;;False;;False;;False;;False;7.86;False;;False;;False;7.75;False;7.86;False;7.7;False;7.75;False;7.46;False;7.68;False;8.38;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Longa duração;Aparência;Aparencia;Organoleptico;False;MA-742;líquido claro a escuro, solido se frio;DESCRITIVA;;;SOLIDO;False;;False;;False;;False;;False;SOLIDO;False;;False;;False;SOLIDO;False;SÓLDIOAMARELO;False;SÓLDIOAMARELO;False;SÓLDIOAMARELO;False;SÓLDIOAMARELO;False;SÓLDIOAMARELO;False;SÓLDIOAMARELO;False
2;T61;Acipol AE 20;Anilina etoxilada;2EO;Ethoxylates and Propoxylates;Other ethoxylate;181;2016-05-13;Longa duração;Água, %p;Teor de Agua;Fisico-Quimico;True;MA-875;0,20 máx.;MAXIMO;;0.2;0.1;False;;False;;False;;False;;False;0.06;False;;False;;False;0.17;False;0.08;False;0.08;False;0.2;False;0.1;False;0.09;False;0.083;False
3;M86;Alkest E 150D;Diestearato de PEG ;150EO;Ethoxylates and Propoxylates;Ester;6500;2015-03-02;Acelerado;Transmitância 800 nm, 1 cm, %T;Transmitancia;Cor;True;MA - 1085;95 - 100;RANGE;95.0;100.0;99.54;False;;False;;False;99.45;False;;False;99.79;False;;False;;False;99.99;False;;False;;False;;False;;False;;False;;False
